IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.76.94.15,2082,2082,false,HKG,Asia Pacific,Hong Kong,92,0.01
47.242.68.32,80,80,false,HKG,Asia Pacific,Hong Kong,50,0.01
47.254.65.110,443,443,true,SJC,North America,San Jose,467,0.00
47.242.68.32,443,443,true,HKG,Asia Pacific,Hong Kong,64,0.00
8.219.97.248,80,80,false,SIN,Asia Pacific,Singapore,2,0.00
8.219.237.250,2086,2086,false,SIN,Asia Pacific,Singapore,2,0.00
8.219.11.158,80,80,false,SIN,Asia Pacific,Singapore,2,0.00
8.219.83.201,2082,2082,false,SIN,Asia Pacific,Singapore,2,0.00
8.219.84.214,2052,2052,false,SIN,Asia Pacific,Singapore,2,0.00
8.219.83.201,2086,2086,false,SIN,Asia Pacific,Singapore,2,0.00
8.219.132.64,80,80,false,SIN,Asia Pacific,Singapore,2,0.00
8.219.174.142,8080,8080,false,SIN,Asia Pacific,Singapore,2,0.00
8.219.4.122,80,80,false,SIN,Asia Pacific,Singapore,3,0.00
8.219.237.250,80,80,false,SIN,Asia Pacific,Singapore,3,0.00
8.219.60.54,8080,8080,false,SIN,Asia Pacific,Singapore,3,0.00
8.219.237.250,2096,2096,true,SIN,Asia Pacific,Singapore,3,0.00
8.219.51.211,8880,8880,false,SIN,Asia Pacific,Singapore,3,0.00
8.219.117.198,80,80,false,SIN,Asia Pacific,Singapore,3,0.00
8.219.235.164,8443,8443,true,SIN,Asia Pacific,Singapore,3,0.00
8.219.1.92,2082,2082,false,SIN,Asia Pacific,Singapore,3,0.00
8.219.124.227,80,80,false,SIN,Asia Pacific,Singapore,3,0.00
8.219.229.190,8080,8080,false,SIN,Asia Pacific,Singapore,3,0.00
8.219.83.71,2082,2082,false,SIN,Asia Pacific,Singapore,3,0.00
8.219.6.150,2082,2082,false,SIN,Asia Pacific,Singapore,3,0.00
8.219.240.160,443,443,true,SIN,Asia Pacific,Singapore,3,0.00
8.219.222.98,2095,2095,false,SIN,Asia Pacific,Singapore,3,0.00
8.219.220.88,2083,2083,true,SIN,Asia Pacific,Singapore,3,0.00
8.219.229.190,2095,2095,false,SIN,Asia Pacific,Singapore,3,0.00
8.219.174.213,2087,2087,true,SIN,Asia Pacific,Singapore,4,0.00
8.219.49.65,2086,2086,false,SIN,Asia Pacific,Singapore,4,0.00
8.219.229.190,2052,2052,false,SIN,Asia Pacific,Singapore,4,0.00
8.219.78.188,8080,8080,false,SIN,Asia Pacific,Singapore,4,0.00
8.219.104.37,2082,2082,false,SIN,Asia Pacific,Singapore,4,0.00
8.219.201.8,2083,2083,true,SIN,Asia Pacific,Singapore,4,0.00
8.219.60.54,8080,8080,false,SIN,Asia Pacific,Singapore,4,0.00
8.219.174.142,2053,2053,true,SIN,Asia Pacific,Singapore,4,0.00
8.219.201.245,80,80,false,SIN,Asia Pacific,Singapore,4,0.00
8.219.201.8,2096,2096,true,SIN,Asia Pacific,Singapore,4,0.00
8.219.100.168,80,80,false,SIN,Asia Pacific,Singapore,4,0.00
8.219.198.34,80,80,false,SIN,Asia Pacific,Singapore,4,0.00
8.219.147.58,8443,8443,true,SIN,Asia Pacific,Singapore,4,0.00
8.219.248.47,2083,2083,true,SIN,Asia Pacific,Singapore,4,0.00
8.219.147.58,2082,2082,false,SIN,Asia Pacific,Singapore,4,0.00
8.219.198.139,2086,2086,false,SIN,Asia Pacific,Singapore,4,0.00
8.219.67.133,8080,8080,false,SIN,Asia Pacific,Singapore,4,0.00
8.219.106.156,2082,2082,false,SIN,Asia Pacific,Singapore,4,0.00
8.219.99.169,2086,2086,false,SIN,Asia Pacific,Singapore,5,0.00
8.219.189.143,2082,2082,false,SIN,Asia Pacific,Singapore,5,0.00
8.219.100.168,8080,8080,false,SIN,Asia Pacific,Singapore,5,0.00
8.219.126.240,2086,2086,false,SIN,Asia Pacific,Singapore,5,0.00
8.219.122.55,2095,2095,false,SIN,Asia Pacific,Singapore,5,0.00
8.219.209.14,2082,2082,false,SIN,Asia Pacific,Singapore,5,0.00
8.219.198.34,2086,2086,false,SIN,Asia Pacific,Singapore,5,0.00
8.219.110.81,2052,2052,false,SIN,Asia Pacific,Singapore,5,0.00
8.219.86.200,80,80,false,SIN,Asia Pacific,Singapore,5,0.00
8.219.120.87,8880,8880,false,SIN,Asia Pacific,Singapore,5,0.00
8.219.202.130,2083,2083,true,SIN,Asia Pacific,Singapore,5,0.00
8.219.202.130,2052,2052,false,SIN,Asia Pacific,Singapore,6,0.00
8.219.177.205,80,80,false,SIN,Asia Pacific,Singapore,6,0.00
8.219.240.160,80,80,false,SIN,Asia Pacific,Singapore,6,0.00
8.219.202.130,2095,2095,false,SIN,Asia Pacific,Singapore,6,0.00
47.245.105.224,2082,2082,false,SIN,Asia Pacific,Singapore,6,0.00
8.222.191.138,2082,2082,false,SIN,Asia Pacific,Singapore,6,0.00
8.219.191.110,2096,2096,true,SIN,Asia Pacific,Singapore,7,0.00
8.219.200.145,2083,2083,true,SIN,Asia Pacific,Singapore,7,0.00
47.236.80.110,8880,8880,false,SIN,Asia Pacific,Singapore,7,0.00
8.219.93.5,2052,2052,false,SIN,Asia Pacific,Singapore,7,0.00
47.236.118.216,2086,2086,false,SIN,Asia Pacific,Singapore,7,0.00
8.219.235.164,2083,2083,true,SIN,Asia Pacific,Singapore,8,0.00
8.219.40.37,80,80,false,SIN,Asia Pacific,Singapore,8,0.00
8.219.240.160,2053,2053,true,SIN,Asia Pacific,Singapore,9,0.00
8.219.210.57,2053,2053,true,SIN,Asia Pacific,Singapore,9,0.00
8.219.200.145,2053,2053,true,SIN,Asia Pacific,Singapore,9,0.00
8.219.210.64,2095,2095,false,SIN,Asia Pacific,Singapore,10,0.00
8.219.99.169,2095,2095,false,SIN,Asia Pacific,Singapore,10,0.00
8.219.106.156,2052,2052,false,SIN,Asia Pacific,Singapore,10,0.00
8.219.5.10,8880,8880,false,SIN,Asia Pacific,Singapore,10,0.00
8.222.160.176,2052,2052,false,SIN,Asia Pacific,Singapore,11,0.00
8.219.170.232,8880,8880,false,SIN,Asia Pacific,Singapore,11,0.00
